;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category
126;Volkswagen;Passat Alltrack;2014-11-01;11900.0;Fairer Preis;158896.0;Schaltgetriebe;Diesel;5.7;150.0;140.0;0.07489175309636492;9.405;1740.63;2776.12;True
127;Volkswagen;Touareg;2014-01-01;21790.0;Guter Preis;193000.0;Automatik;Diesel;;;340.0;0.11290155440414508;;;;True
128;Opel;Mokka;2013-03-01;9780.0;Sehr guter Preis;105000.0;Schaltgetriebe;Benzin;6.3;149.0;140.0;0.09314285714285714;11.151;2063.77;2757.61;True
129;Volkswagen;Touran;2012-01-01;4990.0;Sehr guter Preis;183000.0;Schaltgetriebe;Benzin;6.8;159.0;140.0;0.02726775956284153;12.036;2227.56;2942.69;True
130;Renault;Scenic;2015-03-01;7480.0;Sehr guter Preis;151011.0;Schaltgetriebe;Diesel;4.7;122.0;131.0;0.0495328154902623;7.755;1435.25;2257.91;True
131;Renault;Talisman;2017-10-01;14990.0;Sehr guter Preis;67858.0;Automatik;Diesel;;;160.0;0.22090247281086975;;;;True
132;Volkswagen;Sharan;2013-06-01;14600.0;Sehr guter Preis;160000.0;Schaltgetriebe;Diesel;;;140.0;0.09125;;;;True
133;Renault;Megane;2018-07-01;8500.0;Guter Preis;180000.0;Automatik;Diesel;3.7;95.0;110.0;0.04722222222222222;6.1049999999999995;1129.88;1758.21;True
134;BMW;116;2017-03-01;9990.0;Sehr guter Preis;157445.0;Schaltgetriebe;Diesel;;;116.0;0.06345072882593922;;;;True
135;Audi;Q5;2011-03-01;14990.0;Keine Information;150000.0;Automatik;Diesel;7.5;199.0;239.0;0.09993333333333333;12.375;2290.3;3682.98;True
136;Mercedes-Benz;E 220;2010-11-01;11900.0;Fairer Preis;177025.0;Automatik;Diesel;6.2;163.0;170.0;0.06722214376500495;10.23;1893.31;3016.72;True
137;Audi;SQ5;2014-07-01;19490.0;Keine Information;147812.0;Automatik;Diesel;6.8;180.0;313.0;0.13185668281330337;11.219999999999999;2076.54;3331.34;True
138;Mercedes-Benz;C 180;2011-06-01;10885.0;Fairer Preis;140500.0;Schaltgetriebe;Benzin;;;156.0;0.07747330960854093;;;;True
139;BMW;435;2016-07-01;21880.0;Sehr guter Preis;106245.0;Automatik;Diesel;;;313.0;0.20593910301661256;;;;True
140;Mercedes-Benz;C 220;2011-10-01;8490.0;Keine Information;243000.0;Schaltgetriebe;Diesel;6.1;161.0;170.0;0.03493827160493827;10.065;1862.78;2979.7;True
141;Nissan;Qashqai;2015-10-01;9990.0;Guter Preis;120000.0;Schaltgetriebe;Diesel;3.8;99.0;110.0;0.08325;6.27;1160.42;1832.24;True
142;Toyota;iQ;2011-12-01;5900.0;Guter Preis;156893.0;Automatik;Benzin;4.7;110.0;68.0;0.037605246888006476;8.319;1539.64;2035.82;True
143;Skoda;Fabia;2019-02-01;8800.0;Sehr guter Preis;98747.0;Schaltgetriebe;Benzin;4.8;109.0;75.0;0.08911663139133341;8.496;1572.39;2017.31;True
144;Skoda;Octavia;2014-06-01;5950.0;Erhöhter Preis;259000.0;Schaltgetriebe;Diesel;4.5;119.0;105.0;0.022972972972972974;7.425;1374.18;2202.39;True
145;BMW;X6;2017-02-01;29900.0;Guter Preis;154000.0;Automatik;Diesel;7.0;183.0;258.0;0.19415584415584416;11.549999999999999;2137.61;3386.86;True
146;Peugeot;5008;2017-10-01;11790.0;Keine Information;114607.0;Schaltgetriebe;Benzin;;;131.0;0.10287329744256458;;;;True
